T,x,y
78.2,91.0,92
78.4,85.0,89
78.6,82.0,88
78.8,80.0,87
79.0,78.0,86
79.2,76.0,85
79.4,74.0,85
79.6,72.0,84
79.8,69.0,84
80.0,67.0,83
80.2,64.0,83
80.4,62.0,82
80.6,59.0,82
80.8,56.0,81
81.0,53.0,81
81.2,50.0,80
81.4,47.0,80
81.6,45.0,80
81.8,43.0,79
82.0,41.0,79
82.5,36.0,78
83.0,33.0,78
83.5,30.0,77
84.0,27.0,77
84.5,25.0,75
85.0,23.0,74
85.5,21.0,73
86.0,20.0,72
86.5,18.0,71
87.0,17.0,70
87.5,16.0,69
88.0,15.0,68
88.5,13.0,67
89.0,12.0,65
89.5,11.0,63
90.0,10.0,61
90.5,10.0,59
91.0,9.0,57
91.5,8.0,55
92.0,8.0,53
92.5,7.0,51
93.0,6.0,49
93.5,6.0,46
94.0,5.0,44
94.5,5.0,42
95.0,4.0,39
95.5,4.0,36
96.0,3.0,33
96.5,3.0,30
97.0,2.0,27
97.5,2.0,23
98.0,1.0,19
98.5,1.0,15
99.0,0.9,10
99.5,0.9,5
100.0,0.0,0
